Planet,Satellite,Code,GM,Radius,,,,,,,
,,,km3/s2,km,,,,,,,
Earth,Moon,301,4902.8,1737.4,,,,,,,
Jupiter,Io,501,5959.91547,1821.49,,,,,,,
Jupiter,Europa,502,3202.7121,1560.8,,,,,,,
Jupiter,Ganymede,503,9887.83275,2631.2,,,,,,,
Jupiter,Callisto,504,7179.2834,2410.3,,,,,,,
Jupiter,Amalthea,505,0.16456,83.5,,,,,,,
Jupiter,Himalia,506,0.15155,85,,,,,,,
Jupiter,Thebe,514,0.03015,49.3,,,,,,,
Jupiter,Adrastea,515,0.00014,8.2,,,,,,,
Jupiter,Metis,516,0.0025,21.5,,,,,,,
Mars,Phobos,401,0.0007087,11.08,,,,,,,
Mars,Deimos,402,0.0000962,6.2,,,,,,,
Neptune,Triton,801,1428.49546,1352.6,,,,,,,
Neptune,Nereid,802,0,170,,,,,,,
Neptune,Naiad,803,0.00853,29,,,,,,,
Neptune,Thalassa,804,0.02359,40,,,,,,,
Neptune,Despina,805,0.11673,74,,,,,,,
Neptune,Galatea,806,0.1899,79,,,,,,,
Neptune,Larissa,807,0.25484,96,,,,,,,
Neptune,Proteus,808,2.58342,208,,,,,,,
Pluto,Charon,901,106.1,606,,,,,,,
Pluto,Nix,902,0.0015,18,,,,,,,
Pluto,Hydra,903,0.002,18.5,,,,,,,
Pluto,Kerberos,904,0,6,,,,,,,
Pluto,Styx,905,0,5.2,,,,,,,
Saturn,Mimas,601,2.50349,198.2,,,,,,,
Saturn,Enceladus,602,7.21037,252.1,,,,,,,
Saturn,Tethys,603,41.21353,531.1,,,,,,,
Saturn,Dione,604,73.11607,561.4,,,,,,,
Saturn,Rhea,605,153.94175,763.5,,,,,,,
Saturn,Titan,606,8978.1371,2574.76,,,,,,,
Saturn,Hyperion,607,0.37049,135,,,,,,,
Saturn,Iapetus,608,120.51511,734.3,,,,,,,
Saturn,Phoebe,609,0.55479,106.5,,,,,,,
Saturn,Janus,610,0.12662,89.2,,,,,,,
Saturn,Epimetheus,611,0.03514,58.2,,,,,,,
Saturn,Helene,612,0.00048,18,,,,,,,
Saturn,Atlas,615,0.00037,15.1,,,,,,,
Saturn,Prometheus,616,0.01071,43.1,,,,,,,
Saturn,Pandora,617,0.00926,40.6,,,,,,,
Saturn,Pan,618,0.00028,14,,,,,,,
Uranus,Ariel,701,83.5,578.9,,,,,,,
Uranus,Umbriel,702,85.1,584.7,,,,,,,
Uranus,Titania,703,226.9,788.9,,,,,,,
Uranus,Oberon,704,205.3,761.4,,,,,,,
Uranus,Miranda,705,4.3,235.8,,,,,,,
