Planet,Satellite,Code,Frame,Epoch,a,e,?,M,i,node,P,Papsis,Pnode,R.A.,Dec.,Tilt,
,,,,(TDB),(km),,(deg),(deg),(deg),(deg),(days),(yr),(yr),(deg),(deg),(deg),
Earth,Moon,301,ecliptic ,2000-01-01.5,384400,0.0554,318.15,135.27,5.16,125.08,27.322,5.997,18.6,,,,
Mars,Phobos,401,Laplace ,2000-01-01.5,9375,0.015,216.3,189.7,1.1,169.2,0.3187,1.1,2.3,317.7,52.9,0,
Mars,Deimos,402,Laplace ,2000-01-01.5,23457,0,0,205,1.8,54.3,1.2625,0,56.2,316.6,53.5,0.9,
Jupiter,Io,501,Laplace ,2000-01-01.5,421800,0.004,49.1,330.9,0,0,1.762732,1.333,0,268.1,64.5,0,
Jupiter,Europa,502,Laplace ,2000-01-01.5,671100,0.009,45,345.4,0.5,184,3.525463,1.394,30.202,268.1,64.5,0,
Jupiter,Ganymede,503,Laplace ,2000-01-01.5,1070400,0.001,198.3,324.8,0.2,58.5,7.155588,68.301,137.812,268.2,64.6,0.1,
Jupiter,Callisto,504,Laplace ,2000-01-01.5,1882700,0.007,43.8,87.4,0.3,309.1,16.69044,277.921,577.264,268.7,64.8,0.4,
Jupiter,Amalthea,505,Laplace ,2000-01-01.5,181400,0.003,180.1,310.6,0.4,282.9,0.499918,0.196,0.393,268.1,64.5,0,
Jupiter,Thebe,514,Laplace ,2000-01-01.5,221900,0.018,26.6,182.1,1.1,340.4,0.676105,0.398,0.797,268.1,64.5,0,
Jupiter,Adrastea,515,Laplace ,2000-01-01.5,129000,0,0,214.5,0,0,0.29826,0,0,268.1,64.5,0,
Jupiter,Metis,516,Laplace ,2000-01-01.5,128000,0,0,166,0,0,0.294779,0,0,268.1,64.5,0,
Jupiter,Himalia,506,ecliptic ,2000-01-01.5,11439000,0.16,321.1,78.3,28.4,64.2,249.909,187.4,297.1,,,,
Jupiter,Elara,507,ecliptic ,2000-01-01.5,11710700,0.212,129.9,346.9,27.8,112.8,258.8861,173,270.9,,,,
Jupiter,Pasiphae,508,ecliptic ,2000-01-01.5,23463200,0.412,172.8,279.3,148.3,315.7,734.4215,60.6,79.2,,,,
